,text,label
0,adesione al piano giovani di zona della comunit alto garda e ledro .  . ,11
1,riduzione tariffe asilo nido dal 1 gennaio 2017 .  . ,26
2,revisione parametri icef per servizio tagesmutter .  . ,26
3,agevolazione per lacquisto kit pannolini lavabili .  . ,30
4,abbattimento della quota di iscrizione al servizio colonia estiva .  . ,26
5,convenzione intercomunale con il comune di bolbeno .  . ,28
6,riduzione tariffa per il servizio asilo nido per il secondo figlio .  . ,23
7,concessione gratuita delle sale comunali alle associazione locali .  . ,29
8,"concessione contributi ordinari e straordinari alle associazioni sportive, culturali e ricreative .  . ",29
9,sostegno finanziario alla parrocchia di dro .  . ,29
10,apertura pomeridiana del punto informativo di pietramurata .  . ,51
11,servizi centri aperti per minori a dro e a pietramurata .  . ,64
12,centri aperti estate .  . ,64
13,servizio di trasporto gratuito per i censiti di pietramurata .  . ,90
14,serate di formazione sulle competenze genitoriali .  . ,54
15,letture animate per bambini .  . ,68
16,letture animate e laboratori manuali per bambini .  . ,68
17,rassegna teatrale per bambini teatro a gonfie vele .  . ,68
18,progetto giorno della memoria .  . ,68
19,progetto il canto delle stelle e regala un regalo .  . ,65
20,disponibilit ad ospitare studenti delle scuole superiori per percorsi di formazione .  . ,58
21,"attivit di sensibilizzazione, formazione e informazione sul tema della ludopatia (gioco dazzardo patologico) .  . ",89
22,progetto pari opportunit: sensibilizzazione violenza sulle donne .  . ,97
23,incontri in biblioteca rivolti a insegnanti e genitori .  . ,92
24,corsi di lingua araba per bambini .  . ,196
25,progetto media library online (mlol) .  . ,52
26,progetto cittadini si nasce o si diventa? .  . ,196
27,supporto alla terza et .  . ,58
28,servizi allinfanzia: nido comunale e servizio tagesmutter .  . ,108
29,messa a disposizione di un locale per favorire momenti di incontro delle neomamme .  . ,110
30,laboratori creativo manuale .  . ,110
